DE_0,FE_0,label
0.053197,0.14567,0
0.088662,0.097796,0
0.099718,0.054856,0
0.058621,0.036982,0
-0.0045895,0.054445,0
-0.056952,0.021162,0
-0.071764,-0.0036982,0
-0.058621,-0.010684,0
-0.046521,0.02938,0
-0.049859,0.10458,0
-0.051111,0.13581,0
-0.015646,0.12451,0
0.045895,0.06102,0
0.092208,-0.0036982,0
0.091791,-0.027736,0
0.060498,-0.0049309,0
0.024408,0.0049309,0
-0.00020862,-0.0055473,0
0.017524,-0.013149,0
0.026286,-0.0034927,0
-0.0035465,0.048282,0
-0.041097,0.091427,0
-0.062376,0.09266,0
-0.032544,0.042529,0
0.0050068,-0.012738,0
0.02858,-0.063896,0
0.043809,-0.061431,0
0.040889,-0.054445,0
0.055283,-0.081565,0
0.085324,-0.078484,0
0.10848,-0.076429,0
0.099092,-0.0053418,0
0.05883,0.072525,0
0.031501,0.10745,0
0.01961,0.088345,0
0.029415,-0.0096564,0
0.06029,-0.076635,0
0.075727,-0.098824,0
0.066966,-0.10375,0
0.059038,-0.10047,0
0.064045,-0.082387,0
0.070095,-0.062869,0
0.0678,-0.0047255,0
0.044435,0.092249,0
0.02107,0.1582,0
0.017315,0.17114,0
0.041306,0.10848,0
0.096589,0.0088345,0
0.14082,-0.063485,0
0.15041,-0.098207,0
0.13998,-0.12101,0
0.12016,-0.11814,0
0.099092,-0.10745,0
0.081569,-0.07458,0
0.051945,0.02712,0
0.0060498,0.12882,0
-0.038177,0.18368,0
-0.051737,0.16169,0
-0.021487,0.09492,0
0.020653,0.026915,0
0.044852,-0.02034,0
0.058621,-0.016231,0
0.065922,-0.010684,0
0.071764,-0.014382,0
0.07239,-0.0047255,0
0.031084,0.059171,0
-0.039846,0.15389,0
-0.12475,0.23052,0
-0.18316,0.25887,0
-0.17336,0.21347,0
-0.13623,0.16005,0
-0.065297,0.12553,0
0.0045895,0.10786,0
0.058204,0.113,0
0.098675,0.10108,0
0.07239,0.084647,0
0.01815,0.11752,0
-0.061333,0.17587,0
-0.14895,0.24572,0
-0.19589,0.28086,0
-0.1986,0.2412,0
-0.13351,0.18655,0
-0.048607,0.12512,0
0.030249,0.082182,0
0.082403,0.080333,0
0.10911,0.070471,0
0.1258,0.060815,0
0.091791,0.071087,0
0.03463,0.10951,0
-0.044435,0.18902,0
-0.11077,0.23812,0
-0.12746,0.23401,0
-0.1066,0.18409,0
-0.046313,0.099235,0
0.005424,0.032051,0
0.040263,-0.010684,0
0.086367,-0.04068,0
0.12496,-0.086907,0
0.13497,-0.10499,0
0.098466,-0.083825,0
0.020236,-0.03616,0
-0.069886,0.044995,0
-0.13122,0.078689,0
-0.13393,0.059376,0
-0.083863,0.017669,0
0.0010431,-0.029585,0
0.062585,-0.069855,0
0.10097,-0.10375,0
0.14436,-0.1506,0
0.16835,-0.19354,0
0.15458,-0.19683,0
0.084489,-0.16272,0
-0.021905,-0.061431,0
-0.1089,0.036365,0
-0.13247,0.087318,0
-0.098258,0.095742,0
-0.035256,0.056089,0
0.050902,0.012533,0
0.12997,-0.023627,0
0.18546,-0.059376,0
0.21779,-0.1056,0
0.20966,-0.12204,0
0.16105,-0.093482,0
0.08741,-0.0080127,0
0.011682,0.094098,0
-0.04068,0.13581,0
-0.035047,0.1356,0
0.0091791,0.10006,0
0.045687,0.067595,0
0.07677,0.057116,0
0.097632,0.052802,0
0.11495,0.031229,0
0.1356,-0.0047255,0
0.11703,-0.026298,0
0.061124,-0.010067,0
-0.018775,0.039036,0
-0.088662,0.076018,0
-0.096589,0.10396,0
-0.070929,0.089578,0
-0.024825,0.075607,0
0.025868,0.07684,0
0.053197,0.061636,0
0.071972,0.035749,0
0.08282,-0.028764,0
0.078022,-0.065745,0
0.044644,-0.070265,0
-0.027329,-0.047255,0
-0.11891,-0.016847,0
-0.17691,-0.0036982,0
-0.17878,-0.0024655,0
-0.14812,-0.028558,0
-0.092834,-0.025887,0
-0.03922,-0.022395,0
0.0014603,-0.033489,0
0.043809,-0.066567,0
0.080734,-0.098413,0
0.075727,-0.095947,0
0.018984,-0.071909,0
-0.061124,-0.012327,0
-0.13456,0.027531,0
-0.16877,0.062458,0
-0.15563,0.076429,0
-0.12767,0.086702,0
-0.10222,0.10827,0
-0.070512,0.090195,0
-0.049233,0.065335,0
-0.035465,0.0113,0
-0.043392,-0.041502,0
-0.075727,-0.044995,0
-0.11808,-0.0080127,0
-0.16126,0.044378,0
-0.16397,0.09492,0
-0.11912,0.12348,0
-0.046313,0.13149,0
0.017524,0.15121,0
0.051945,0.1469,0
0.073433,0.11814,0
0.086367,0.071087,0
0.074893,0.015204,0
0.054031,-0.0092455,0
0.010639,-0.0041091,0
-0.042558,0.018696,0
-0.053614,0.0452,0
-0.041723,0.064307,0
-0.0098049,0.064924,0
0.017315,0.091016,0
0.044644,0.13005,0
0.073641,0.13231,0
0.093042,0.11177,0
0.12496,0.039858,0
0.1331,-0.036776,0
0.10744,-0.073758,0
0.05883,-0.084853,0
0.016063,-0.072731,0
0.016063,-0.059171,0
0.052988,-0.03842,0
0.085324,-0.0020545,0
0.10014,0.025065,0
0.10598,0.036365,0
0.10326,0.023833,0
0.093877,-0.037393,0
0.061542,-0.087729,0
0.014603,-0.10273,0
-0.053406,-0.091222,0
-0.11891,-0.056705,0
-0.13706,-0.04068,0
-0.094503,-0.026504,0
-0.020653,0.0057527,0
0.035465,0.039036,0
0.085532,0.069444,0
0.13205,0.087935,0
0.16251,0.051158,0
0.15938,-0.014793,0
0.11975,-0.038625,0
0.059873,-0.046227,0
-0.021696,-0.024244,0
-0.088453,0.0094509,0
-0.11328,0.021778,0
-0.097841,0.058965,0
-0.058204,0.11382,0
-0.021487,0.16251,0
0.01961,0.18142,0
0.062167,0.15121,0
0.086158,0.08362,0
0.091791,0.032051,0
0.063419,0.00904,0
0.012308,0.012327,0
-0.021905,0.038831,0
-0.037759,0.071293,0
-0.040263,0.10581,0
-0.03922,0.14115,0
-0.039846,0.18059,0
-0.042766,0.17936,0
-0.036508,0.13375,0
-0.022322,0.049515,0
-0.019818,-0.026093,0
-0.033378,-0.052185,0
-0.066131,-0.0339,0
-0.095963,0.024449,0
-0.10598,0.069033,0
-0.086575,0.10088,0
-0.042975,0.11218,0
-0.022739,0.13087,0
-0.0083446,0.13889,0
0.023991,0.094509,0
0.056743,0.033695,0
0.08136,-0.047255,0
0.065297,-0.087729,0
0.01502,-0.084236,0
-0.034839,-0.057938,0
-0.06321,-0.031229,0
-0.045478,-0.029175,0
0.0062585,-0.02486,0
0.057578,0.0094509,0
0.088453,0.068827,0
0.095963,0.094098,0
0.1066,0.10314,0
0.12788,0.066978,0
0.12809,0.027736,0
0.10139,0.01808,0
0.056535,0.019518,0
0.015438,0.031229,0
0.014812,-0.0057527,0
0.058204,-0.032667,0
0.092417,-0.050542,0
0.10055,-0.037598,0
0.10222,-0.011916,0
0.10952,-0.010478,0
0.13873,-0.015204,0
0.15876,-0.041913,0
0.14582,-0.039447,0
0.098049,-0.037804,0
0.034422,-0.016642,0
-0.0085532,-0.021162,0
-0.021905,-0.076429,0
-0.02107,-0.093687,0
-0.015855,-0.091222,0
-0.011265,-0.059171,0
-0.002712,-0.036982,0
0.036299,-0.06102,0
0.088662,-0.10869,0
0.12433,-0.13437,0
0.11432,-0.11074,0
0.070721,-0.062253,0
0.01502,-0.02034,0
-0.028163,-0.021573,0
-0.0085532,-0.041091,0
0.026703,-0.056911,0
0.032753,-0.046433,0
0.028163,-0.038009,0
0.028372,-0.052391,0
0.053823,-0.066156,0
0.076562,-0.074991,0
0.059038,-0.040269,0
0.014186,0.016847,0
-0.038802,0.084647,0
